SK_DIM_DATE,DSS_LOAD_DATE,DSS_LAST_UPDATED_DATE,DATE,FULLDATEAUS,FULLDATEUSA,DAYOFMONTH,DAYNAME,MONTH,QUARTER,YEAR,FIRSTDAYOFMONTH,LASTDAYOFMONTH,FIRSTDAYOFQUARTER,LASTDAYOFQUARTER,FIRSTDAYOFYEAR,LASTDAYOFYEAR,ISWEEKDAY,ISNATIONALHOLIDAY,NATIONALHOLIDAY
20200918,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-18,18/09/2020,09/18/2020,18,Friday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200919,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-19,19/09/2020,09/19/2020,19,Saturday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,0,0,N/A
20200920,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-20,20/09/2020,09/20/2020,20,Sunday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,0,0,N/A
20200921,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-21,21/09/2020,09/21/2020,21,Monday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200922,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-22,22/09/2020,09/22/2020,22,Tuesday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200923,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-23,23/09/2020,09/23/2020,23,Wednesday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200924,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-24,24/09/2020,09/24/2020,24,Thursday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200925,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-25,25/09/2020,09/25/2020,25,Friday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200926,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-26,26/09/2020,09/26/2020,26,Saturday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,0,0,N/A
20200927,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-27,27/09/2020,09/27/2020,27,Sunday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,0,0,N/A
20200928,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-28,28/09/2020,09/28/2020,28,Monday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200929,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-29,29/09/2020,09/29/2020,29,Tuesday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20200930,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-09-30,30/09/2020,09/30/2020,30,Wednesday,9,3,2020,2020-09-01,2020-09-30,2020-07-01,2020-09-30,2020-01-01,2020-12-31,1,0,N/A
20201001,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-01,01/10/2020,10/01/2020,1,Thursday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201002,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-02,02/10/2020,10/02/2020,2,Friday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201003,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-03,03/10/2020,10/03/2020,3,Saturday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201004,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-04,04/10/2020,10/04/2020,4,Sunday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201005,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-05,05/10/2020,10/05/2020,5,Monday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201006,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-06,06/10/2020,10/06/2020,6,Tuesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201007,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-07,07/10/2020,10/07/2020,7,Wednesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201008,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-08,08/10/2020,10/08/2020,8,Thursday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201009,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-09,09/10/2020,10/09/2020,9,Friday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201010,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-10,10/10/2020,10/10/2020,10,Saturday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201011,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-11,11/10/2020,10/11/2020,11,Sunday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201012,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-12,12/10/2020,10/12/2020,12,Monday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201013,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-13,13/10/2020,10/13/2020,13,Tuesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201014,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-14,14/10/2020,10/14/2020,14,Wednesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201015,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-15,15/10/2020,10/15/2020,15,Thursday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201016,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-16,16/10/2020,10/16/2020,16,Friday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201017,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-17,17/10/2020,10/17/2020,17,Saturday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201018,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-18,18/10/2020,10/18/2020,18,Sunday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201019,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-19,19/10/2020,10/19/2020,19,Monday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201020,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-20,20/10/2020,10/20/2020,20,Tuesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201021,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-21,21/10/2020,10/21/2020,21,Wednesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201022,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-22,22/10/2020,10/22/2020,22,Thursday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201023,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-23,23/10/2020,10/23/2020,23,Friday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201024,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-24,24/10/2020,10/24/2020,24,Saturday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201025,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-25,25/10/2020,10/25/2020,25,Sunday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201026,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-26,26/10/2020,10/26/2020,26,Monday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201027,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-27,27/10/2020,10/27/2020,27,Tuesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201028,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-28,28/10/2020,10/28/2020,28,Wednesday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201029,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-29,29/10/2020,10/29/2020,29,Thursday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201030,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-30,30/10/2020,10/30/2020,30,Friday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201031,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-10-31,31/10/2020,10/31/2020,31,Saturday,10,4,2020,2020-10-01,2020-10-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201101,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-01,01/11/2020,11/01/2020,1,Sunday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201102,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-02,02/11/2020,11/02/2020,2,Monday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201103,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-03,03/11/2020,11/03/2020,3,Tuesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201104,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-04,04/11/2020,11/04/2020,4,Wednesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201105,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-05,05/11/2020,11/05/2020,5,Thursday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201106,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-06,06/11/2020,11/06/2020,6,Friday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201107,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-07,07/11/2020,11/07/2020,7,Saturday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201108,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-08,08/11/2020,11/08/2020,8,Sunday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201109,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-09,09/11/2020,11/09/2020,9,Monday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201110,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-10,10/11/2020,11/10/2020,10,Tuesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201111,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-11,11/11/2020,11/11/2020,11,Wednesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201112,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-12,12/11/2020,11/12/2020,12,Thursday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201113,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-13,13/11/2020,11/13/2020,13,Friday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201114,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-14,14/11/2020,11/14/2020,14,Saturday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201115,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-15,15/11/2020,11/15/2020,15,Sunday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201116,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-16,16/11/2020,11/16/2020,16,Monday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201117,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-17,17/11/2020,11/17/2020,17,Tuesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201118,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-18,18/11/2020,11/18/2020,18,Wednesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201119,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-19,19/11/2020,11/19/2020,19,Thursday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201120,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-20,20/11/2020,11/20/2020,20,Friday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201121,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-21,21/11/2020,11/21/2020,21,Saturday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201122,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-22,22/11/2020,11/22/2020,22,Sunday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201123,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-23,23/11/2020,11/23/2020,23,Monday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201124,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-24,24/11/2020,11/24/2020,24,Tuesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201125,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-25,25/11/2020,11/25/2020,25,Wednesday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201126,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-26,26/11/2020,11/26/2020,26,Thursday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201127,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-27,27/11/2020,11/27/2020,27,Friday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201128,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-28,28/11/2020,11/28/2020,28,Saturday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201129,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-29,29/11/2020,11/29/2020,29,Sunday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201130,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-11-30,30/11/2020,11/30/2020,30,Monday,11,4,2020,2020-11-01,2020-11-30,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201201,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-01,01/12/2020,12/01/2020,1,Tuesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201202,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-02,02/12/2020,12/02/2020,2,Wednesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201203,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-03,03/12/2020,12/03/2020,3,Thursday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201204,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-04,04/12/2020,12/04/2020,4,Friday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201205,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-05,05/12/2020,12/05/2020,5,Saturday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201206,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-06,06/12/2020,12/06/2020,6,Sunday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201207,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-07,07/12/2020,12/07/2020,7,Monday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201208,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-08,08/12/2020,12/08/2020,8,Tuesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201209,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-09,09/12/2020,12/09/2020,9,Wednesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201210,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-10,10/12/2020,12/10/2020,10,Thursday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201211,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-11,11/12/2020,12/11/2020,11,Friday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201212,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-12,12/12/2020,12/12/2020,12,Saturday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201213,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-13,13/12/2020,12/13/2020,13,Sunday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201214,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-14,14/12/2020,12/14/2020,14,Monday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201215,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-15,15/12/2020,12/15/2020,15,Tuesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201216,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-16,16/12/2020,12/16/2020,16,Wednesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201217,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-17,17/12/2020,12/17/2020,17,Thursday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201218,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-18,18/12/2020,12/18/2020,18,Friday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201219,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-19,19/12/2020,12/19/2020,19,Saturday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201220,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-20,20/12/2020,12/20/2020,20,Sunday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201221,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-21,21/12/2020,12/21/2020,21,Monday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201222,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-22,22/12/2020,12/22/2020,22,Tuesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201223,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-23,23/12/2020,12/23/2020,23,Wednesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201224,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-24,24/12/2020,12/24/2020,24,Thursday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201225,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-25,25/12/2020,12/25/2020,25,Friday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,1,Christmas Day
20201226,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-26,26/12/2020,12/26/2020,26,Saturday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,1,Boxing Day
20201227,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-27,27/12/2020,12/27/2020,27,Sunday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,0,0,N/A
20201228,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-28,28/12/2020,12/28/2020,28,Monday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201229,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-29,29/12/2020,12/29/2020,29,Tuesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201230,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-30,30/12/2020,12/30/2020,30,Wednesday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20201231,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-12-31,31/12/2020,12/31/2020,31,Thursday,12,4,2020,2020-12-01,2020-12-31,2020-10-01,2020-12-31,2020-01-01,2020-12-31,1,0,N/A
20210101,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-01,01/01/2021,01/01/2021,1,Friday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,1,New Years Day
20210102,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-02,02/01/2021,01/02/2021,2,Saturday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,0,0,N/A
20210103,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-03,03/01/2021,01/03/2021,3,Sunday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,0,0,N/A
20210104,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-04,04/01/2021,01/04/2021,4,Monday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,0,N/A
20210105,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-05,05/01/2021,01/05/2021,5,Tuesday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,0,N/A
20210106,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-06,06/01/2021,01/06/2021,6,Wednesday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,0,N/A
20210107,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-07,07/01/2021,01/07/2021,7,Thursday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,0,N/A
20210108,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-08,08/01/2021,01/08/2021,8,Friday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,1,0,N/A
20210109,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-09,09/01/2021,01/09/2021,9,Saturday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,0,0,N/A
20210110,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2021-01-10,10/01/2021,01/10/2021,10,Sunday,1,1,2021,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,0,0,N/A
